4326	4326
AGD66	6202
AGD84	6203
AINELABD1970	6204
AMERICANSAMOA1962	6169
AMERSFOORT	6289
ANTIGUA1943	6601
ANTIGUAISLANDASTRO1943	6601
ARC1950	6209
ARC1960	6210
AUSTRALIANGEODETIC1966	6202
AUSTRALIANGEODETIC1984	6203
BAD83WGS84	
BATAVIA	6211
BATAVIAJAKARTA	6813
BERKELEYMAPPERCOPIEDFROMUC101086	
BERKSHIREWELLINGTONCOLLEGE	
BOGOTA1975	6218
BOGOTAOBSERVATORY	
BOGOTAWGS84	
CANADANOVASCOTIA	
CAPE	4222
CLARKE1858	
CORREGOALEGRE	1074
CORREGOALEGRE1961	1074
CORREGOALEGRE1972	6225
DCLARKE1880RGS	
DEGREES	
DJAKARTABATAVIA	6813
DWGS1984	4326
ED50	6230
ED79	6668
ED87	6231
ELLIOTTTRAP	
ETRS89~WGS84	6258
ETRS89	6258
EUROPEAN1950	6230
EUROPEANDATUM	
EUROPEANDATUM1950	6230
EUROPEANDATUM1979	6668
EUROPEANDATUM1987	6231
FORTTHOMAS1955	37240
FUNDAMENTALDEOCOTEPEQUE	1070
GDA94	4939
GEOCENTRICDATUMOFAUSTRALIA1994	4939
GEODETICDATUMOFAUSTRALIA1994	4939
GEOLOCATE	
GNIS	
GOOGLEMAPWGS84	
GPS	
GPSNAD27	6267
GPSWGS84	4326
GRA	
GS84	4326
GUAM1963	6675
GUX1ASTRO	
H	
HELEN	
HUTZUSHAN	6236
HUTZUSHAN1950	6236
INDIAN	6131
INDIAN1954	6239
INDIAN1960	6131
INDIAN1975	6240
INDIANGEODETICDATUM	6131
INDONESIAN1974	
IRELAND1965	6300
JAPANESEGEODETICDATUM2000	6612
JAPANESEGEODETICDATUM2011	1128
JGD2000	4947
JGD2011	6667
KENYACOLONY	
KERTAU1948	
KERTAU1968	6245
KUSAIEASTRO1951	
LATLONG	
LUZON	6253
LUZON1911	6253
MAPDATUMUNK	
MGRS	
MONTSERRAT	4604
MONTSERRAT1958	4604
MONTSERRATISLANDASTRO1958	4604
MRT48	
MRT68	6245
N	
NA83	6269
NAD	
NAD1924	
NAD1927	6267
NAD1983	6269
NAD1987	
NAD2	
NAD24	
NAD27	6267
NAD27MAPESTIMATE	6267
NAD27GPS	6267
NAD27NORTHAMERICAN1927	6267
NAD27UPDATEDWITHNAD83	
NAD27UTMNAD83DECIMALDEGREES	
NAD28	
NAD29	
NAD30	
NAD31	
NAD32	
NAD33	
NAD34	
NAD35	
NAD36	
NAD37	
NAD38	
NAD39	
NAD40	
NAD41	
NAD83	6269
NAD83GPS	6269
NAD83WGA84	
NAD83WGGS84	
NAD83WGS	
NAD83WGS4	
NAD83WGS84	
NAD83WGS94	
NAD84	
NAD84WGS83	
NAD84WGS84	
NAD85	
NAD87	
NAD93WGS84	
NADWGS84	
NAH27	
NAS83	
ND83	
NEW1950ARC	6209
NEW1960ARC	6210
NGVD29	
NONEINDICATED	
NORTHAMERICA1983NAD83GRS80	
NORTHAMERICAN1983	6269
NORTHAMERICANDATUM1927	6267
NORTHAMERICANDATUM1983	6269
NOTAPPLICABLENOCOORDINATES	
NOTRECORDED	
NOTRECORDEDFORCEDWGS84	4326
NULL	
OCOTEPEQUE	1070
OCOTEPEQUE1935	1070
ORDNANCESURVEYOFGREATBRITAIN1936	7405
ORDNANCESURVEY	7405
ORDNANCESURVEY36	7405
ORDNANCESURVEY1936	7405
ORDNANCESURVEYGREATBRITAIN1936	7405
ORDNANCESURVEYOFGREATBRITAIN1936	7405
OSGB36	7405
OSNI1952	6188
OTHER	
OWENS	
POMEROY	
PDO	6134
PDOSURVEYDATUM1993	6134
POS	
PD83	6746
POTSDAMDATUM83	6746
PROVISIONALLACONOA1956VENEZUELA	4248
PROVISIONALSOUTHAMERICAN1956	4248
PRPM	
PSAD56	4248
REUNION	6627
REUNION1947	6626
REUNION1989	5156
REUNION1992	6627
SAD69	4248
SCHWARZECK	6293
SD2009	
SOUTHAMERICANDATUM1969	6618
TOKYO	6301
TOKYODATUM	6301
TOPO!	
TOYKO	6301
UNBKNONW	
UNDERSEAWEEDATTIDELINE	
UNKNOWN	
UNKNOWNNAD83ASSUMED	
UNKNOWNT1SR7E	
UNKNOWNT28NR9E	
UTMGNAD27DECIMALDEGREESNAD83	
UTMNAD27NAD83DECIMALDEGREES	
UTMPROJECTION	
VITILEVU1912	6752
VITILEVU1916	6752
WFGS84	4326
WG	
WG84	4326
WGAS84	4326
WGD84	4326
WGS	
WGS*4	
WGS100	
WGS101	
WGS102	
WGS1894	4326
WGS1984	4326
WGS1984WGS84	
WGS66	6760
WORLDGEODETICSYSTEM1966	6760
WGS72	
WGS80	
WGS83	
WGS83NAD84	
WGS84	4326
WGS84F	4326
WGS84NAD27	
WGS84NAD82	
WGS84NAD83	
WGS84NAD84	
WGS84ORIGINALLYNAD83	4326
WGS84Q	4326
WGS85	
WGS85NAD83	
WGS86	
WGS87	
WGS88	
WGS89	
WGS894	4326
WGS90	
WGS91	
WGS92	
WGS93	
WGS94	
WGS95	
WGS96	
WGS97	
WGS98	
WGS99	
WHS84	4326
WORLDGEODETICSYSTEM1966	4890
WORLDGEODETICSYSTEM1972	4322
WORLDGEODETICSYSTEM1984	4326
WS1984	4326
WSG84	4326
WSG84NAD83	
