*	INFRASPECIFIC_NAME
**	INFRASPECIFIC_NAME
***	INFRASPECIFIC_NAME
****	INFRASPECIFIC_NAME
*****	INFRASPECIFIC_NAME
?	UNRANKED
??	UNRANKED
???	UNRANKED
a	UNRANKED
abber	ABERRATION
abberation	ABERRATION
aberrancy	ABERRATION
abt	PHYLUM
abteilung	PHYLUM
agamosp	SPECIES
agamovar	VARIETY
agg	SPECIES_AGGREGATE
agglom	SPECIES_AGGREGATE
aggr	SPECIES_AGGREGATE
aggregate	SPECIES_AGGREGATE
agregate	SPECIES_AGGREGATE
alliance	
alpha	INFRASPECIFIC_NAME
ap	INFRASUBSPECIFIC_NAME
b	UNRANKED
beta	INFRASPECIFIC_NAME
biotype	BIOVAR
branch	UNRANKED
bv	BIOVAR
c	CLASS
capaxorder	GRANDORDER
chemotype	CHEMOFORM
cl	CLASS
clade	UNRANKED
clase	CLASE
class	CLASS
class	CLASS
classclade	CLASS
classe	CLASS
classis	CLASS
cohors	COHORT
cohort	COHORT
coll sp	INFRASPECIFIC_NAME
coll species	INFRASPECIFIC_NAME
complex	SPECIES_AGGREGATE
convar	CONVARIETY
ct	CHEMOFORM
cultivar	CULTIVAR
cultivar	CULTIVAR
cultivar_group	CULTIVAR_GROUP
cultivargroup	CULTIVAR_GROUP
cv	CULTIVAR
d	UNRANKED
div	PHYLUM
divisao	PHYLUM
divisio	PHYLUM
division	PHYLUM
domain	DOMAIN
empire	DOMAIN
epsilon	INFRASPECIFIC_NAME
es	SPECIES
espece	SPECIES
especie	SPECIES
especies	SPECIES
f	FORM
fam	FAMILY
familia	FAMILY
family	FAMILY
family	FAMILY
familyclade	FAMILY
fm	FAMILY
fma	FORM
for	FORM
form	FORM
form	FORM
forma	FORM
g	GENUS
gamma	INFRASPECIFIC_NAME
gat	GENUS
gattung	GENUS
gen	GENUS
genero	GENUS
gennus	GENUS
genus	GENUS
genus	GENUS
genusclade	GENUS
gn	GENUS
gnero	GENUS
grex	GREX
grex sect	GREX
group	SPECIES_AGGREGATE
groupgenus	GENUS
groupspecies	SPECIES_AGGREGATE
higher taxon	SUPRAGENERICNAME
hybrid formula	HYBRID FORMULA
imperium	KINGDOM
infraclass	INFRACLASS
infraclassis	INFRACLASS
infrafam unranked	INFRAFAMILY
infragen	INFRAGENUS
infragen grex	GREX
infragen.unranked	INFRAGENERICNAME
infrageneric	INFRAGENERICNAME
infrageneric_name	INFRAGENERIC_NAME
infragenericname	INFRAGENERICNAME
infragenerictaxon	INFRAGENERICTAXON
infragenus	INFRAGENUS
infrakingdom	INFRAKINGDOM
infraorder	INFRAORDER
infraorder	INFRAORDER
infraordo	INFRAORDER
infraphylum	INFRAPHYLUM
infraregnum	INFRAKINGDOM
infrasp	INFRASPECIFIC_NAME
infrasp unranked	INFRASPECIFIC_NAME
infrasp.unranked	INFRASPECIFIC_NAME
infraspecies	INFRASPECIFIC_NAME
infraspecific	INFRASPECIFIC_NAME
infraspecific_name	INFRASPECIFIC_NAME
infraspecificname	INFRASPECIFIC_NAME
infraspecifictaxon	INFRASPECIFIC_NAME
infrasubspecific name	INFRASUBSPECIFIC_NAME
infrasubspecific_name	INFRASUBSPECIFIC_NAME
infrasubspecificname	INFRASUBSPECIFIC_NAME
intergen hybrid	UNRANKED
k	KINGDOM
kd	KINGDOM
king	KINGDOM
kingdom	KINGDOM
kingdom	KINGDOM
kingdomclade	KINGDOM
kl	CLASS
kla	CLASS
klasse	CLASS
legio	LEGION
lysotype	PHAGOVAR
megaorder	MAGNORDER
microgen	INFRAGENERICNAME
monstr	
morphotype	MORPHOVAR
nat	NATIO
natio	NATIO
nm	
no rank	UNRANKED
node	UNRANKED
none	UNRANKED
norank	UNRANKED
nothof	FORM
nothoform	FORM
nothogenus	GENUS
nothosect	SECTION
nothoser	SERIES
nothospecies	SPECIES
nothosubgen	SUBGENUS
nothosubsect	SUBSECTION
nothosubsp	SUBSPECIES
nothosubspecies	SUBSPECIES
nothosubtrib	SUBTRIBE
nothotaxon	UNRANKED
nothovar	VARIETY
nothovariety	VARIETY
o	ORDER
or	ORDER
ord	ORDER
ordem	ORDER
orden	ORDER
order	ORDER
orderclade	ORDER
ordo	ORDER
p	PHYLUM
pars	
pathotype	PATHOVAR
ph	PHYLUM
phagotype	PHAGOVAR
phyl	PHYLUM
phylum	PHYLUM
phylumclade	PHYLUM
phylumdivision	PHYLUM
physiological type	BIOVAR
prol	PROLES
prolata	PROLES
proles	PROLES
pseudovar	
race	RACE
reg	KINGDOM
regn	KINGDOM
regnum	KINGDOM
reich	KINGDOM
ribe	TRIBE
root	UNRANKED
s	SPECIES
sec	SECTION
sec ion	SECTION
sect	SECTION
sectio	SECTION
section	SECTION
section	SECTION
ser	SERIES
serie	SERIES
series	SERIES
series	SERIES
serotype	SEROVAR
sge	SUBGENUS
sous-classe	SUBCLASS
sp	SPECIES
spe	SPECIES
spec	SPECIES
special form	FORMA_SPECIALIS
species	SPECIES
species agg	SPECIES_AGGREGATE
species aggr	SPECIES_AGGREGATE
species complex	SPECIES_AGGREGATE
species group	SPECIES_AGGREGATE
species hypothesis	UNRANKED
species subgroup	SPECIES_AGGREGATE
speciesaggregate	SPECIES_AGGREGATE
speciescomplex	SPECIES_AGGREGATE
speciesgroup	SPECIES_AGGREGATE
specieshypothesis	UNRANKED
ss	SUBSPECIES
sses	SUBSPECIES
ssp	SUBSPECIES
stamm	PHYLUM
stirps	UNRANKED
strain	STRAIN
strain	STRAIN
sub ribe	SUBTRIBE
sub variety	SUBVARIETY
sub_especie	SUBSPECIES
subbranch	UNRANKED
subcl	SUBCLASS
subclase	SUBCLASS
subclass	SUBCLASS
subclass	SUBCLASS
subclassis	SUBCLASS
subdiv	SUBPHYLUM
subdivisio	SUBPHYLUM
subdivision	SUBPHYLUM
subespecie	SUBSPECIES
subfam	SUBFAMILY
subfamilia	SUBFAMILY
subfamily	SUBFAMILY
subfamily	SUBFAMILY
subf	SUBFORM
subform	SUBFORM
subform	SUBFORM
subforma	SUBFORM
subg	SUBGENUS
subgen	SUBGENUS
subgenero	SUBGENUS
subgenus	SUBGENUS
subgenus	SUBGENUS
subhybr	INFRASUBSPECIFIC_NAME
subkingdom	SUBKINGDOM
subkingdom	SUBKINGDOM
sublus	INFRASUBSPECIFIC_NAME
subord	SUBORDER
suborden	SUBORDER
suborder	SUBORDER
subordo	SUBORDER
subphyl	SUBPHYLUM
subphylum	SUBPHYLUM
subphylum	SUBPHYLUM
subregn	SUBKINGDOM
subregnum	SUBKINGDOM
subsec ion	SUBSECTION
subsect	SUBSECTION
subsectio	SUBSECTION
subsection	SUBSECTION
subsection	SUBSECTION
subser	SUBSERIES
subseries	SUBSERIES
subseries	SUBSERIES
subsp	SUBSPECIES
subspec	SUBSPECIES
subspecies	SUBSPECIES
subspecies	SUBSPECIES
subspeciesaggregate	INFRASPECIFIC_NAME
subsubf	INFRASUBSPECIFIC_NAME
