ALLOTYPE	ALLOTYPE
COTYPE	COTYPE
COTYPES	COTYPE
DRAWINGOFTYPE	TYPE
FHOLOTYPE	HOLOTYPE
HOLOTIPO	HOLOTYPE
HOLOTYPE	HOLOTYPE
HOLOTYPEPROPARTE	HOLOTYPE
HOLOTYPUS	HOLOTYPE
HYPOTYPE	HYPOTYPE
ISOLECTOTIPO	ISOLECTOTYPE
ISOLECTOTYPE	ISOLECTOTYPE
ISONEOTYPE	ISONEOTYPE
ISOSINTIPO	ISOSYNTYPE
ISOSYNTYPE	ISOSYNTYPE
ISOTIPO	ISOTYPE
ISOTYPE	ISOTYPE
ISOTYPUS	ISOTYPE
LECTOTIPO	LECTOTYPE
LECTOTYPE	LECTOTYPE
LECTOTYPUS	LECTOTYPE
NEOTYPE	NEOTYPE
PARALECTOTYPE	PARALECTOTYPE
PARATIPO	PARATYPE
PARATOPOTYPE	PARATYPE
PARATYPE	PARATYPE
PARATYPES	PARATYPE
PLASTOTYPE	PLASTOTYPE
POSSIBLETYPE	TYPE
SINTIPO	SYNTYPE
SYNTYPE	SYNTYPE
SYNTYPES	SYNTYPE
SYNTYPUS	SYNTYPE
TIPO	TYPE
TOPOTYPE	TOPOTYPE
TYPE	TYPE
TYPEMATERIAL	TYPE
TYPES	TYPE
TYPESTATUSUNKNOWN	TYPE
TYPUS	TYPE
UNSPECIFIEDKINDOFTYPE	TYPE
